国家,国庆日,官方语言,人口数量,国土面积,主要宗教,GDP,人类发展指数,所属洲
孟加拉国,1971年3月26日,孟加拉语,1.5851亿人(2014年),14.757万平方公里,伊斯兰教、印度教、佛教、基督教,1738.1893亿美元(2014年),0.5,亚洲
墨西哥,9月16日,西班牙语,1.238亿人(2014年),197.255万平方公里,天主教,12827.1995亿美元(2014年),0.756,北美洲
罗马尼亚,1918年12月1日,罗马尼亚语,0.1991亿人(2014年),23.8391万平方公里,东正教,1990.4365亿美元(2014年),,欧洲
毛里求斯,1968年3月12日,英语、法语,0.0126亿人(2014年),2040平方公里,印度教、基督教、伊斯兰教,126.1642亿美元(2014年),0.708,非洲
哥伦比亚,1810年7月20日,西班牙语,0.4893亿人(2014年),114.1748万平方公里,天主教,3777.3962亿美元(2014年),0.710,南美洲
立陶宛,1918年2月16日,立陶宛语,0.0293亿人(2014年),6.53万平方公里,天主教,481.7224亿美元(2014年),0.834,欧洲
埃及,1952年7月23日,阿拉伯语,0.8339亿人(2014年),100.1449万平方公里,伊斯兰教-逊尼派、科普特教会,2865.3805亿美元(2014年),0.658,非洲
挪威,1814年5月17日,挪威语,0.0514亿人(2014年),38.52万平方公里,基督教路德宗,5001.0309亿美元(2014年),0.944,欧洲
卡塔尔,1878年12月18日,阿拉伯语,0.0227亿人(2014年),1.1437万平方公里,伊斯兰教-逊尼派,2118.1676亿美元(2014年),0.831,亚洲
斯里兰卡,1948年(戊子年)2月4日,僧伽罗语、泰米尔语,0.2064亿人(2014年),6.561万平方公里,佛教、印度教、基督教、伊斯兰教,749.4118亿美元(2014年),,亚洲
克罗地亚,6月25日,克罗地亚语,0.0424亿人(2014年),5.6594万平方公里,天主教,572.2257亿美元(2014年),0.812,欧洲
匈牙利,1949年8月20日,匈牙利语,0.0986亿人(2014年),9.303万平方公里,天主教、基督新教,1371.0393亿美元(2014年),0.831,欧洲
希腊,3月25日,希腊语,0.1096亿人(2014年),13.1957万平方公里,东正教,2375.9227亿美元(2014年),0.860,欧洲
乌克兰,1991年8月24日,乌克兰语,0.4536亿人(2014年),60.37万平方公里（包括克里米亚）,东正教、天主教,1318.0513亿美元(2014年),,欧洲
塞浦路斯,10月1日,希腊语、土耳其语,0.0115亿人(2014年),9251平方公里,东正教、伊斯兰教（逊尼派）,232.2616亿美元(2014年),,欧洲
白俄罗斯,1944年7月3日,白俄罗斯语、俄语,0.0947亿人(2014年),20.76万平方公里,东正教,761.3925亿美元(2014年),0.817,欧洲
葡萄牙,1580年6月10日,葡萄牙语,0.104亿人(2014年),9.2212万平方公里,天主教,2295.8371亿美元(2014年),0.816,欧洲
阿根廷,1810年5月25日,西班牙语,0.418亿人(2014年),278.04万平方公里,天主教,5401.9746亿美元(2014年),0.808，世界第49(2014年),南美洲
斯洛文尼亚,1991年6月25日,斯洛文尼亚语,0.0206亿人(2014年),2.0273万平方公里,天主教,494.1606亿美元(2014年),0.874,欧洲
菲律宾,1898年6月12日,菲律宾语，英语,1.001亿人(2014年),29.97万平方公里,天主教、伊斯兰教、基督新教,2845.8202亿美元(2014年),0.654,亚洲
保加利亚,3月3日,保加利亚语,0.0723亿人(2014年),111001.9平方公里,东正教,557.3468亿美元(2014年),0.777,欧洲
尼泊尔,9月20日,尼泊尔语,0.2812亿人(2014年),14.7181万平方公里,印度教、佛教、伊斯兰教、原始宗教等,196.3619亿美元(2014年),0.463,亚洲
斯洛伐克,9月1日,斯洛伐克语,0.0542亿人(2014年),4.9037万平方公里,天主教、基督新教,997.9015亿美元(2014年),0.830,欧洲
卢森堡,6月23日,卢森堡语、法语、德语,0.0056亿人(2014年),"2,586.4平方公里",天主教,601.3085亿美元(2013年),0.875,欧洲
尼日利亚,1960年10月1日,英语,1.7852亿人(2014年),92.38万平方公里,伊斯兰教、基督教,5685.0826亿美元(2014年),,非洲
沙特阿拉伯,9月23日,阿拉伯语,0.2937亿人(2014年),225万平方公里,伊斯兰教-逊尼派,7462.4853亿美元(2014年),,亚洲
老挝,12月2日,老挝语,0.0689亿人(2014年),23.68万平方公里,上座部佛教,117.7173亿美元(2014年),0.497,亚洲
摩洛哥,1999年7月30日,阿拉伯语,0.3349亿人(2014年),44.655万平方公里,伊斯兰教,1070.0498亿美元(2014年),0.617,非洲
印尼,1945年8月17日,印度尼西亚语,2.5281亿人(2014年),190.4569万平方公里,伊斯兰教、基督新教、天主教,8885.382亿美元(2014年),0.629,亚洲
不丹,1907年12月17日,宗卡语、英语,0.0077亿人(2014年),3.8394万平方公里,藏传佛教、印度教,18.2141亿美元(2014年),0.538,亚洲
乌拉圭,8月25日,西班牙语,0.0342亿人(2014年),17.62万平方公里,天主教,574.7128亿美元(2014年),0.792,南美洲
阿塞拜疆,5月28日,阿塞拜疆语,0.0954亿人(2014年),8.66万平方公里,伊斯兰教,751.9801亿美元(2014年),0.791,亚洲
柬埔寨,1953年11月9日,高棉语,0.1541亿人(2014年),18.1035万平方公里,上座部佛教,167.0943亿美元(2014年),0.523,亚洲
肯尼亚,1964年12月12日,斯瓦希里语、英语,0.4555亿人(2014年),58.2646万平方公里,基督新教、天主教、伊斯兰教,609.3651亿美元(2014年),0.509,非洲
突尼斯,1956年3月20日,阿拉伯语,0.11亿人(2014年),16.361万平方公里,伊斯兰教-逊尼派,469.948亿美元(2013年),,非洲
南非,1961年5月31日,英语、南非荷兰语、祖鲁语,0.54亿人(2014年),122.1037万平方公里,基督新教、天主教,3498.171亿美元(2014年),0.629,非洲
拉脱维亚,11月18日,拉脱维亚语,0.0199亿人(2014年),6.4589万平方公里,天主教、基督教路德宗,319.2082亿美元(2014年),0.814,欧洲
卢旺达,1962年7月1日,卢旺达语、法语、英语,0.121亿人(2014年),2.6338万平方公里,天主教、原始宗教,78.9019亿美元(2014年),,非洲
伊朗,1979年2月11日,波斯语,0.7847亿人(2014年),164.8195万平方公里,伊斯兰教-什叶派,4153.385亿美元(2014年),,亚洲
摩尔多瓦,1991年8月27日,摩尔多瓦语,0.0356亿人(2014年),3.38万平方公里,东正教,79.4418亿美元(2014年),0.623,欧洲
越南,1945年9月2日,越南语,0.9073亿人(2014年),32.9556万平方公里,上座部佛教、天主教、和好教、高台教,1862.0465亿美元(2014年),,亚洲
巴林,1971年8月15日,阿拉伯语,0.0134亿人(2014年),767平方公里,伊斯兰教-什叶派,338.6899亿美元(2014年),,亚洲
乌干达,1962年10月9日,英语、斯瓦西里语,0.3884亿人(2014年),24.15万平方公里,天主教、基督新教、伊斯兰教,263.124亿美元(2014年),,非洲
阿联酋,1971年12月2日,阿拉伯语,0.0945亿人(2014年),8.36万平方公里,伊斯兰教,4016.4658亿美元(2014年),0.818,亚洲
哈萨克斯坦,1991年12月16日,哈萨克语、俄语,0.1729亿人(2014年),272.49万平方公里（世界第9名）,伊斯兰教、东正教,2122.4791亿美元(2014年),0.757,亚洲
朝鲜,1948年9月9日,朝鲜语,0.2503亿人(2014年),12.2762万平方公里,天道教,,,亚洲
文莱,1984年(甲子年)2月23日,马来语,0.0042亿人(2014年),5765平方公里（世界第172名）,伊斯兰教、佛教、基督教、道教,172.5675亿美元(2014年),0.855,亚洲
塞尔维亚,2月15日,塞尔维亚语,0.0713亿人(2014年),约8.8361万平方公里,东正教,438.6642亿美元(2014年),0.769-高,欧洲
黑山,7月13日,黑山语,0.0062亿人(2014年),1.3812万平方公里,东正教,45.832亿美元(2014年),0.789,欧洲
黎巴嫩,1943年(癸未年)11月22日,阿拉伯语,0.0451亿人(2014年),1.0452万平方公里,伊斯兰教、基督教,457.3095亿美元(2014年),0.741,亚洲
蒙古国,7月11日,蒙古语,0.0288亿人(2014年),156.65万平方公里,藏传佛教、萨满教,120.1594亿美元(2014年),0.698（第103名），中（2014年）,亚洲
巴基斯坦,1956年3月23日,乌尔都语,1.8513亿人(2014年),88.0254万平方公里（含巴控克什米尔）,伊斯兰教,2468.7632亿美元(2014年),0.514,亚洲
叙利亚,1946年4月17日,阿拉伯语（通用英语和法语）,0.233亿人(2014年),18.518万平方公里（含戈兰高地）,伊斯兰教,404.0501亿美元(2007年),,亚洲
波斯尼亚和黑塞哥维那,10月15日,波斯尼亚语、塞尔维亚语、克罗地亚语,0.0382亿人(2014年),5.1129万平方公里,伊斯兰教、东正教、天主教,183.4428亿美元(2014年),,欧洲
塔吉克斯坦,1991年9月9日,塔吉克语、波斯语,0.0841亿人(2014年),14.31万平方公里,伊斯兰教-逊尼派,92.4163亿美元(2014年),,亚洲
缅甸,1948年1月4日,缅甸语,0.5372亿人(2014年),67.6581万平方公里,上座部佛教,643.3004亿美元(2014年),,亚洲
约旦,1946年5月25日,英语,0.0661亿人(2014年),9.139万平方公里,伊斯兰教-逊尼派,358.2693亿美元(2014年),0.770,亚洲
科威特,2月25日,阿拉伯语,0.0348亿人(2014年),1.782万平方公里,伊斯兰教,1758.2672亿美元(2013年),0.760,亚洲
乌兹别克斯坦,1991年9月1日,乌兹别克语,0.3074亿人(2014年),44.74万平方公里（世界第56名）,伊斯兰教-逊尼派,626.4395亿美元(2014年),0.654,亚洲
亚美尼亚,1991年9月21日,亚美尼亚语,0.0298亿人(2014年),2.98万平方公里（排名世界第135位）,东正教,108.8161亿美元(2014年),,亚洲
阿富汗,8月19日,普什图语、达里语,0.3128亿人(2014年),64.75万平方公里,伊斯兰教,208.4195亿美元(2014年),,亚洲
吉尔吉斯斯坦,1991年8月31日,吉尔吉斯语,0.0583亿人(2014年),19.99万平方公里,伊斯兰教-逊尼派,74.0441亿美元(2014年),,亚洲
北马其顿,9月8日,马其顿语,207.5万,25713平方千米,东正教,,,
伊拉克,1958年7月14日,阿拉伯语,0.3428亿人(2014年),43.7万平方公里,伊斯兰教-什叶派,2205.0568亿美元(2014年),0.642,亚洲
也门,5月22日,阿拉伯语,0.2497亿人(2014年),52.797万平方公里,伊斯兰教,359.545亿美元(2013年),0.420,亚洲
