国家,官方语言,官方语言及国家语言,GDP（国际汇率）,国内生产总值（国际汇率）,人口,面积,主要宗教,宗教,人类发展指数,主要节日,立国历史
立陶宛,"
立陶宛语",,,"总计：430.24亿美元[4]（第80名）
人均：14,964美元[4]（第52名）","
以下资讯是以2014年估计


总人口：2,944,459[1]人（世界第138名）
人口密度：50.3/km2（世界第120名）
","
国土面积：65,200平方公里（世界第122名）
水域率：1.35%
",,,▲0.858[5]（第35名）－极高,"
独立日：1918年2月16日从俄罗斯帝国宣布独立日：1990年3月11日从苏联正式独立日：1991年9月6日",
埃及,"
阿拉伯语",,,"总计：2,501.49亿美元[1]（第44名）
人均：2,859美元[1]（第131名）","
以下资讯是以2017年估计


总人口：93,453,000人（世界第15名）
人口密度：90/km2（世界第118名）
","
国土面积：1,001,449平方公里（世界第29名）
水域率：0.6%
","
伊斯兰教逊尼派（90%）、科普特基督教（10%）",,▲0.696[2]（第115名）－中,,"立国日期：1953年6月18日
立国事件：1953年6月18日废除帝制，成立共和国。（视乎不同阶段）"
挪威,"
挪威语（书面 / 新）
萨米语
北方萨米语吕勒萨米语南方萨米语（于9个自治市为官方语言）
",,"
4,432.52亿美元[11]（第28名）",,"
5,328,212[9]","
385,207[8] km2（第61名a）",,"
挪威教会[3][4][5][6][7]","
▲ 0.953[13]（2017年）极高 · 第1名",,
卡塔尔,"
阿拉伯语",,"
1,565.95亿美元[4]（第55名）",,"
2,155,446[a][2]（第142名）","
11,586 km2（第164名）",,"
伊斯兰教","
▲ 0.856[6]（2017年）极高 · 第37名",,
斯里兰卡,"
僧伽罗语泰米尔语",,,"总计：848.07亿美元[1]（第65名）
人均：3,990美元[1]（第112名）","
以下资讯是以2016估计


总人口：19,607,519人（世界第56名）
人口密度：305/km2（世界第24名）
","
国土面积：65,610平方公里（世界第119名）
水域率：1.3%
","
佛教印度教伊斯兰教基督宗教",,▲0.770[2]（第76名）－高,"
独立日：1948年2月4日","立国日期：1948年2月4日
立国事件：斯里兰卡独立日（1948年2月4日）"
克罗地亚,"
克罗地亚语",,"
$610.56亿[3]（第81名）",,"
▼ 4,154,200[2]","
56,594 km2（第126名）",,,"
▲ 0.831[5]（2017年）极高 · 第46名",,
匈牙利,"
匈牙利语",,"
1,170.65亿美元[7]（第58名）",,"
9,800,000[5]（第84名）","
93,030[4] km2（第109名）",,,"
▲ 0.838[9]（2017年）极高 · 第45名",,
希腊,,"
希腊语","
1,958.78亿美元[5]（第49名）",,"
10,955,000[2]","
131,957 km2[1]（第97名）",,"
东正教（普遍信仰）","
▲ 0.870[7]（2017年）极高 · 第31名",,
乌克兰,"
乌克兰语",,,"总计：835.50亿美元[3]（第62名）
人均：1,965美元[3]（第130名）","
以下资讯是以2018年12月1日估计


总人口：42,177,579[1]人（世界第35名）
人口密度：76/km2（世界第131名）
","
国土面积：603,700平方公里（世界第44名）
水域率：7%
","
东正教",,▲0.751[4]（第88名）－高,"
独立日：8月24日",
塞浦路斯,"
希腊语、土耳其语[2]",,,"总计：197.95亿美元[3]（第107名）
人均：22,903美元[3]（第33名）","
以下资讯是以2013年估计


总人口：全岛估计人口1,141,166人（世界第158名）
人口密度：123.4/km2（世界第82名）
","
国土面积：9,251平方公里（世界第168名）

","
希腊正教：78%伊斯兰教：18%其他：4%（包括马龙派与亚美尼亚使徒教会）",,▲0.869[4]（第32名）－极高,,
白俄罗斯,"
白俄罗斯语俄语",,"
$458.87亿[5]",,"
9,608,700 ▲[4]","
207,595 km2（第85位）",,,"
▲ 0.808[7]（2017年）极高 · 第53位",,
葡萄牙,"
葡萄牙语",,"
$2041.86亿[4]（第43位）",,"
10,341,330[2]（第83位）","
92,212[1] km2（第111位）",,"
天主教为主（81.0%）","
▲ 0.830[6]（2014年）极高 · 第43位",,
阿根廷,"
无[c]",,,"总计：6,377.17亿美元[9]（第21名）
人均：12,425美元[9]（第49名）","
以下资讯是以2014年估计


总人口：42,669,500[4]人（世界第32名）
人口密度：14.4/km2（世界第212名）
","
国土面积：2,780,400[b]平方公里（世界第8名）
水域率：1.57%
","
天主教",,▲0.825[10]（第47名）－极高,"
独立日（英语：Argentine Declaration of Independence）、国家日、圣诞节、元旦、圣周末[d]等","立国日期：1816年7月9日
立国事件：五月革命（1810年5月25日）"
斯洛文尼亚,"
斯洛文尼亚语",,"
$441.22亿[5]",,"
2,063,077[3]（第144位）","
20,273 km2（第154位）",,,"
▲ 0.896[7]（2017年）极高 · 第25位",,
菲律宾,"
菲律宾语、英语",,,"总计：3,116.87亿美元[6]（第36名）
人均：2,991美元[6]（第122名）","
以下资讯是以2016年估计


总人口：102,939,500人（世界第12名）
人口密度：343.13/km2（世界第43名）
","
国土面积：299,764[2]平方公里（世界第72名）
水域率：0.61[3]%
","
天主教、基督新教、伊斯兰教",,▲0.699[7]（第113名）－中,"
独立日：1898年6月12日（自西班牙）","立国日期：1898年6月12日
立国事件：独立日（1898年6月12日）"
保加利亚,"
保加利亚语",,,"总计：640亿美元[2]（第74名）
人均：9,080 美元[2]（第70名）","
以下资讯是以2017年估计


总人口：7,050,034 [1]人（世界第103名）
人口密度：64/km2（世界第155名）
","
国土面积：110,910平方千米（世界第103名）
水域率：0.3%
","
东正教",,▲ 0.813[3]（第51名）－极高,"
独立日：9月22日",
尼泊尔,"
尼泊尔语[2]和英语",,,"总计：218.74亿美元[3]（第105名）
人均：760美元[3]（第164名）","
以下资讯是以2010年估计


总人口：29,331,000[1]人（世界第40名）
人口密度：188/km2（世界第39名）
","
国土面积：147,181平方公里（世界第94名）
水域率：2.8%
","
印度教（80％）和佛教（12％）",,▲0.574[4]（第149名）－中,,
斯洛伐克,"
斯洛伐克语",,,"总计：897.97亿美元[1]（第63名）
人均：16,574美元[1]（第44名）","
以下资讯是以2015年估计


总人口：5,431,000人（世界第107名）
人口密度：111/km2（世界第88名）
","
国土面积：49,034平方公里（世界第127名）

","
天主教",,▲0.855[2]（第38名）－极高,,
卢森堡,"
卢森堡语德语法语",,,"总计：601.76亿美元[2]（第74名）
人均：104,359美元[2]（第1名）","
以下资讯是以2012年估计


总人口：524,853[1]人（世界第173名）
人口密度：194.1/km2（世界第67名）
","
国土面积：2586.3平方公里（世界第176名）

",,,▲0.904[3]（第21名）－极高,"
国庆日：6月23日",
尼日利亚,"
英语",,,"总计：4,150.80亿美元[2]（第26名）
人均：2,260美元[2]（第135名）","
以下资讯是以2018年估计


总人口：1.94亿[1]人（世界第7名）
人口密度：188.9/km2（世界第71名）
","
国土面积：923,768平方千米（世界第31名）
水域率：2.4%
",,,▲0.532[3]（第157名）－低,,
沙特阿拉伯,"
阿拉伯语",,"
6,377.85亿美元[3]（第20名）",,"
30,770,375[2]（第41名）","
2,149,690[1] km2（第13名）",,"
伊斯兰教逊尼派（国教）","
▼ 0.853[4]（2017年）极高 · 第39名",,
老挝,"
老挝语",,"
183.37亿美元[4]",,"
6,758,353[2]（第104名）","
237,955 km2（第82位）",,"

列表
佛教 64.7%民间信仰 31.4%基督教 1.7%伊斯兰教 0.8%其他 1.3%
","
▲ 0.601[6]（2017年）中 · 第139名",,
摩洛哥,"
阿拉伯语柏柏尔语",,"
1181.78亿美元[6]",,"
35,740,000[5]","
710,850 km2或446,550 km2[c]（第40或57位）",,"
逊尼派伊斯兰教[b][3]","
▲ 0.667[8]（2017年）中 · 第123位",,
印尼,"
印度尼西亚语",,,"总计：10,148.67亿美元[6]（第16名）
人均：3,870美元[6]（第117名）","
以下资讯是以2019估计


总人口：270,960,000 [4]人（世界第4名）
人口密度：124.66/km2（世界第84名）
","
国土面积：1,919,440平方公里（世界第16名）
水域率：4.85%
","
伊斯兰教逊尼派天主教基督新教佛教印度教",,▲0.694[7]（第116名）－中,"
独立日：1945年8月17日","立国日期：1945年8月17日
立国事件：印尼领导人苏加诺宣布印尼独立（1945年8月17日）"
不丹,"
宗卡语",,,"总计：24.75亿美元[4]（第161名）
人均：3,128美元[4]（第125名）","

总人口：756,427[3]人（世界第165名）
人口密度：18/km2（世界第154名）
","
国土面积：38,394[1][2]平方公里（世界第132名）
水域率：0%
","
藏传佛教",,▲ 0.612[5]（第134名）－中,"
国庆日：1907年12月17日（自英国独立）","立国日期：1907年12月17日
立国事件：不丹国庆日（1907年12月17日）"
乌拉圭,"
西班牙语",,"
$531.45亿[2]（第78位）",,"
3,427,000[2]（第134位）","
176,215 km2（第89位）",,,"
▲ 0.804[5]（2017年）极高 · 第55名",,
阿塞拜疆,"
阿塞拜疆语",,"
351.41亿美元[2]（第76名）",,"
9,494,600[1]（第89名）","
86,600 km2（第114名）",,,"
▬ 0.757[4]（2017年）高 · 第80名",,
柬埔寨,"
高棉语",,,"总计：241.41亿美元[2]（第109名）
人均：1,390美元[2]（第153名）","
以下资讯是以2018年估计


总人口：16,460,535[1]人（世界第72名）
人口密度：82.8/km2（世界第118名）
","
国土面积：181,035平方公里（世界第88名）
水域率：2.5%
","
上座部佛教（国教）",,▲0.582[3]（第146名）－中,"
柬埔寨新年、亡人节、送水节","立国日期：1953年11月9日
立国事件：独立日（1953年11月9日）"
肯尼亚,"
英语斯瓦希里语[1]",,"
$631.21亿[5]",,"
45,010,056[3]（第31位）","
581,309 km2（第49位）",,,"
▲ 0.590[7]（2017年）中 · 第142名",,
突尼斯,"
阿拉伯语",,,"总计：439.89亿美元[1]（第84名）
人均：3,919美元[1]（第111名）","
以下资讯是以2017年估计


总人口：11,434,994人（世界第79名）
人口密度：63/km2（世界第133名）
","
国土面积：163,610平方公里（世界第90名）

",,,▲0.735[2]（第95名）－高,,"立国日期：1956年3月20日
立国事件："
南非,"

11种官方语言[注 2]
 南非语  英语  南恩德贝莱语（英语：Southern Ndebele language）  北索托语  南索托语  斯威士语  聪加语  茨瓦纳语  文达语  科萨语  祖鲁语

",,"
3,710亿美元[7]（第35名）",,"
57,725,600[5]（第25名）","
1,221,037 km2（第25名）",,"
73.2% 新教14.9% 无宗教7.4% 天主教1.7% 伊斯兰教1.1% 印度教1.7% 其他信仰","
▲ 0.699[9]（2017年）中 · 第113名",,
拉脱维亚,"
拉脱维亚语",,,"总计：281.77亿美元[2]（第99名）
人均：14,258美元[2]（第50名）","
以下资讯是以2018年估计


总人口：1,934,379[1]人（世界第150名）
人口密度：29.9/km2（世界第166名）
","
国土面积：64,589平方公里（世界第123名）
水域率：1.5%
",,,▲0.847[3]（第41名）－极高,"
独立日：1918年11月18日从俄罗斯帝国
被承认：1921年11月18日
宣布独立日：1990年5月4日从苏联
正式获得独立日：1991年9月6日",
卢旺达,"
卢旺达语法语英语",,"
84.90亿美元[4]（第139名）",,"
11,262,564[1][2]（第76名）","
26,338 km2（第145名）",,,"
▲ 0.524[6]（2017年）低 · 第158名",,
伊朗,"
波斯语",,"
4,383亿美元[4]（第27名）",,"
79,115,000 [3]（第18名）","
1,648,195 km2（第18名）",,"
官方：伊斯兰教什叶派其他认可宗教：伊斯兰教逊尼派基督教犹太教琐罗亚斯德教","
▲ 0.798[6]（2017年）高 · 第60名",,
摩尔多瓦,"
罗马尼亚语[1][2]",,"
80亿美圆[7]",,"
2,998,235[6]（不包括德左地区）","
33,846 km2（135名）",,,"
▲ 0.700[9]（2017年）高 · 第112名",,
越南,"
越南语",,"
2,204.08亿美元[2]（第46名）",,"
97,208,000人 (2018年)（第15名）","
331,210 km2（第67名）",,,"
▲ 0.694[3]（2017年）中 · 第116名",,
巴林,"
阿拉伯语",,,"总计：393.00亿美元[1]（第96名）
人均：22,797美元[1]（第32名）","
以下资讯是以2010年估计


总人口：1,234,571人（世界第155名）
人口密度：1626.6/km2（世界第7名）
","
国土面积：758平方公里（世界第175名）
水域率：0%
",,,▬0.846[2]（第43名）－极高,"
独立日：1971年8月15日","立国日期：1971年8月15日
立国事件：巴林独立日（1971年8月15日）"
乌干达,"
斯瓦希里语[2]、英语",,,"总计：249.95亿美元[3]（第101名）
人均：608美元[3]（第170名）","
以下资讯是以2014年估计


总人口：34,634,650[1]人（世界第35名）
人口密度：144.00/km2（世界第63名）
","
国土面积：236,040平方公里（世界第81名）
水域率：15.39%
",,,▲0.516[4]（第162名）－低,,
阿联酋,"
阿拉伯语",,"
3,750.22亿美元[3]（第31名）",,"
5,779,760[2]至9,581,000[3][4]

 population_census = 4,106,427（第93名）","
83,600 km2（第116名）",,"
伊斯兰教逊尼派","
▲ 0.863[5]（2017年）极高 · 第34名",,
哈萨克斯坦,"
哈萨克语（官方/国家）俄语（官方）[2]",,,"总计：1,608.39亿美元[4]（第57名）
人均：8,841美元[4]（第60名）","
以下资讯是以2018年估计


总人口：18,324,237[1]人（世界第64名）
人口密度：密度6.7/km2（世界第187名）
","
国土面积：2,727,300平方公里（世界第9名）
水域率：1.7%
","
伊斯兰教、正教会",,▲0.800[5]（第58名）－极高,"
独立日：1991年12月16日（自苏联独立）","立国日期：1991年12月16日
立国事件：哈萨克斯坦独立日（1991年12月16日）"
朝鲜,"
朝鲜语",,"
327亿美元（第88名）",,"
25,250,000人（第49名）","
120,538 km2（第99名）",,,"
0.564（2016年）中 · 第195名",,
文莱,"
马来语[a]",,"
$13.002 billion[4]（第111名）",,"
417,200[3]（第175名）","
5,765 km2（第164名）",,"
67% 伊斯兰教逊尼派其他宗教

13% 佛教
10% 基督教
10% 印度教和其他宗教

（2011）","
▲ 0.853[5]（2017年）极高 · 第39名",,
塞尔维亚,"
塞尔维亚语",,"
423.78亿美元[4]（第86名）",,"
7,001,444（不包括科索沃）[3]","
88,361 km2（第111名）",,,"
▲ 0.787[6]（2017年）高 · 第67名",,
黑山,"
黑山语",,,"总计：40.20亿美元[2]
人均：6,424美元[2]（第80名）","
以下资讯是以2017年估计


总人口：642,550[1]人
人口密度：45/km2（世界第121名）
","
国土面积：13,812平方公里（世界第161名）
水域率：1.5%
",,,▲0.814[3]（第50名）－极高,"
新年(1月1日)东正教圣诞节(1月7日)劳动节(5月1日)独立日(5月21日)国庆日(7月13日)","立国日期：6月3日
立国事件：从塞尔维亚与黑山独立（2006年6月3日）"
黎巴嫩,"
阿拉伯语",,,"总计：527.97亿美元[2]（第80名）
人均：11,484美元[2]（第59名）","
以下资讯是以2012年估计


总人口：4,822,000[1]人（世界第119名）
人口密度：473/km2（世界第27名）
","
国土面积：10,452平方公里（世界第166名）
水域率：1.8%
","
伊斯兰教、基督教、德鲁兹派",,▲0.757[3]（第80名）－高,"
独立日：1943年11月22日","立国日期：11月22日
立国事件：（1943年11月22日）"
蒙古国,"
蒙古语",,"
111.64亿美元",,"
3,200,200[7]（第137名）","
1,564,116 km2（第19名）",,"
佛教（53%）萨满教（4%）伊斯兰教（3%）[2]","
▼ 0.741[10]（2017年）高 · 第92名",,
巴基斯坦,"
乌尔都语",,,"总计：2,710.50亿美元[4]（第42名）
人均：1,709美元[4]（第142名）","
以下资讯是以2017年估计


总人口：2.077亿[2]人（世界第5名）
人口密度：236/km2
","
国土面积：880,940平方公里（世界第34名）
水域率：3.1%
","
伊斯兰教",,▲ 0.562[5]（第150名）－中,"
独立日：1947年8月14日","立国日期：1947年8月14日
立国事件：独立日（1947年8月14日）"
叙利亚,"
阿拉伯语",,,"总计：736亿美元（第68名）
人均：1,600美元（第149名）","
以下资讯是以2018年估计


总人口：16,993,000人（世界第69名）
人口密度：114.3人/平方公里/km2（世界第70名）
","
国土面积：183,885平方公里（世界第86名）
水域率：1.1%
","
伊斯兰教叙利亚基督教",,▬0.536[3]（第155名）－低,,"立国日期：1946年4月17日
立国事件：自法国独立（1946年4月17日）"
波斯尼亚和黑塞哥维那,"
波斯尼亚语塞尔维亚语克罗地亚语[2]",,,"总计：20.340亿美元[3]
人均：5,806美元[3]","
以下资讯是以2017估计


总人口：3,531,159[1]人
人口密度：69/km2
","
国土面积：51,129平方千米（世界第125名）
水域率：1.4%
","
伊斯兰教东正教天主教",,▲ 0.768[4]（第77名）－高,,
塔吉克斯坦,"
塔吉克语（国家）俄语（官方）",,,"总计：62.45亿美元[2]（第140名）
人均：721美元[2]（第159名）","
以下资讯是以2014年7月估计


总人口：8,051,512(.est)[1]人（世界第97名）
人口密度：48.6/km2（世界第155名）
","
国土面积：143,100平方公里（世界第96名）
水域率：1.8%
","
伊斯兰教",,▲0.650[3]（第127名）－中,,
缅甸,"
缅甸语",,"
82,441[2]（第72名）",,"
51,486,253[1]（第25位）","
676,578 km2（第40位）",,"
上座部佛教","
▲ 0.578[3]（2017年）中 · 第148名",,
约旦,"
阿拉伯语",,,"总计：397.95亿美元[1]（第89名）
人均：5,704美元[1]（第92名）","
以下资讯是以2017估计


总人口：8,286,100人
人口密度：62/km2（世界第106名）
","
国土面积：92,300平方公里（世界第110名）
水域率：0.01%
","
伊斯兰教逊尼派",,▬0.735[2]（第95名）－高,"
开斋节",
科威特,"
阿拉伯语",,,"总计：1,104.55亿美元[1]（第59名）
人均：26,145美元[1]（第27名）","
以下资讯是以2013年估计


总人口：约382万人
人口密度：214人/平方公里/km2
","
国土面积：17,818平方公里（世界第157名）
水域率：0%
","
伊斯兰教逊尼派(70％)什叶派(30％)",,▼0.803[2]（第56名）－极高,"
国庆日、开斋日、宰牲节","立国日期：1961年6月19日（从英国独立）
立国事件："
乌兹别克斯坦,"
乌兹别克语",,,"总计：616.49亿美元[1]（第69名）
人均：1,966美元[1]（第131名）","

总人口：32,979,000人（世界第42名）
人口密度：57/km2（世界第111名）
","
国土面积：487,400平方公里（世界第53名）

","
伊斯兰教（逊尼派）东正教",,▲0.710[2]（第105名）－高,,
